id,reference,hypothesis,audio_duration_s,inference_time_s,rtf
46,Orkestret settes sammen fra år til år., Orkestrarna sätts samman från år till år.,3.75,0.18605040526017547,0.04961344140271346
47,Både kulturministeren og bistandsministeren gjester festivalåpningen.\Punktum, Både kulturministern och biståndsministern gästar festivalöppningen. Punktum.,8.25,0.18605040526017547,0.022551564273960663
48,S K I F T, S K I F T,2.75,0.24676958564668894,0.08973439478061417
49,"På statistikken over sykefravær ligger det kvinner øverst,\Komma men forskerne har aldri helt funnet årsaken til at kvinner er mest syke.\Punktum"," På statistiken över sjukfrånvaro ligger de kvinnor överst kommer, men forskarna har aldrig helt funnit orsaken till att kvinnor är mest sjuka, punktum.",11.75,0.24676958564668894,0.021001666863547996
50,De som holder på med tunnelarbeidet er forduftet., De som håller på med tunnlandbyggande är förnuftiga.,4.5,0.24676958564668894,0.054837685699264206
51,Hver av gruppens konserter er ensbetydende med tung og hard rock., Varav gruppens konserter är ensbetydande med tung och hög rock.,6.5,0.24676958564668894,0.03796455163795214
52,Forestillingen skal være et likeverdig møte mellom to kunstarter., Föreställningen ska vara ett likvärdigt möte mellan två kundarter.,5.75,0.18690837011672556,0.03250580349856097
53,fem   åtte   to   en   fjorten   ni hundre og tjuefem, fem åtta två en fjorton niohundratjugofem,5.25,0.18690837011672556,0.03560159430794772
54,I N N B A K T, I N N B A K T,5.0,0.18690837011672556,0.037381674023345114
55,Flere partier burde satse offensivt på nettopp innvandringspolitikken., Flera partier borde satsa offensivt på nettopp-invandringspolitiken.,6.25,0.18690837011672556,0.02990533921867609
56,Han ønsker å bruke sitt kunstuttrykk i flest mulig sammenhenger., Han önskar att bruka sitt konstuttryck i flest möjliga sammanhang.,5.75,0.1608228252734989,0.027969187004086765
57,I blant er det enklere å lese i en bok enn på en skjerm., Ibland är det enklare att läsa i en bok än på en skärm.,4.2509375,0.1608228252734989,0.03783231940566026
58,jo jo jo, jo jo jo,3.25,0.1608228252734989,0.04948394623799966
59,Som barn lå jeg i ukevis av gangen på sykehus på grunn av øynene mine., Som barn låg jag i veckovisa gången på sjukhus på grund av ögonen mina.,6.75,0.1608228252734989,0.02382560374422206
60,M I L L I A R D E N E, M I L L I A R D E N E,5.0,0.2511381064541638,0.05022762129083276
61,Åpne Excel, öppna excel,3.0,0.2511381064541638,0.08371270215138793
62,"Stemme og synsvinkel ligger alle andre steder enn hos forfatteren,\Komma som derimot er sentrum i alle historiene.\Punktum"," Stämme och synsvinkel ligger alla andra städer än hos författaren, komma, som däremot är centrum i alle historierne, punkt om.",10.0,0.2511381064541638,0.02511381064541638
63,Økt avstand mellom stolradene vil likevel sørge for at sikten blir betydelig bedre enn nå.\Punktum, Ökt avstånd mellan stolraderna vill likväl sörja för att sikten blir betydligt bättre än nu.,10.0,0.2511381064541638,0.02511381064541638
64,Vis linjalen, Vislinjalen,5.25,0.15953921806067228,0.0303884224877471
65,Vis alternativer, visa alternativ,3.25,0.15953921806067228,0.04908899017251455
66,De forvalter jo en tradisjon og skal formidle den videre til sine studenter.\Punktum," De förvaltar ju en tradition och skall förmedla den vidare till sina studenter, punktum.",6.25,0.15953921806067228,0.025526274889707566
67,I N N S T I L L E R, I N N S T I L L E R,5.5,0.15953921806067228,0.02900713055648587
68,Alle aksjonærene har fått tilbud om å tegne seg som långivere., Alla auktionärerna har fått tillbud om att hänvisa som långivare.,5.75,0.15043513965792954,0.026162632983987747
69,Vis bunntekst, viss bondtext,2.25,0.15043513965792954,0.0668600620701909
70,D O M M E N E, D O M M E N E,4.5,0.15043513965792954,0.03343003103509545
71,Oddleif Forsberg, Oddlai Forsberg,1.75,0.15043513965792954,0.08596293694738831
72,Det er imidlertid riktig at elevene så langt har valgt skole basert på rykter.\Punktum," Det är emellertid riktigt att eleverna så långt har valt skola baserat på rykten, punkt om.",6.5,0.19416785333305597,0.029871977435854766
73,tilfredsstilt tilfredsstilt tilfredsstilt," tillfredsställt, tillskredställt, tillfredsställt",5.0,0.19416785333305597,0.038833570666611195
74,åtte   åtte   to   fire   trettifem   fem hundre og førtisju, åtta åtta två fyra trettiofem femhundraofyrtiosju,8.7509375,0.19416785333305597,0.02218823449865297
75,F L E N G, F L E N G,4.5,0.19416785333305597,0.04314841185179022
76,"Det vi kan vite sikkert, er at de gamle vennene savnes når de blir borte.", Det de kan veta säkert är att de gamla vännerna saknas när de blir borta.,5.75,0.18945092428475618,0.03294798683213151
77,sikt, sikt,1.75,0.18945092428475618,0.10825767101986068
78,Mytene om tusser og troll levde i beste velgående til langt inn i forrige århundre., Myten om tussar och troll lever de bästa välgående till långt in i de förra århundradena.,6.75,0.18945092428475618,0.028066803597741656
79,T A N K E V E K K E N D E, T A N K E V E K K E N D E,8.25,0.18945092428475618,0.022963748398152264
80,sju   en   åtte   fem   tjueen   fem hundre og femtisju, sju en åtta fem tjugoett femhundrafemtiosju,4.5,0.23215850139968097,0.05159077808881799
81,Arbeidsmarkedsetaten har finansiert virksomheten de siste tre årene.\Punktum," Arbetsmarknadsetaten har finansierat verksamheten de sista tre åren, punktum.",6.5,0.23215850139968097,0.035716692523027845
82,Nå er vi altså kommet så langt i dialogen og samarbeidet at vi kan være sammen om å forrette nattverd., Nu har vi alltså kommit så långt i dialogen och samarbetet att vi kan vara tillsammans med och förrätta en nattvärd.,7.25,0.23215850139968097,0.03202186226202496
83,"Hvordan noen kan mene at en slik formålsparagraf kan forenes med toleranse og respekt for annerledes troende, er meg et stort mysterium.", Hurdan någon kan mena att en slik förmånsparagraf kan förenas med tolerans och respekt för annorlunda troende är mig ett stort mysterium.,11.0,0.23215850139968097,0.021105318309061906
84,Du ser med en gang hva du har utrettet., Du ser med en gång vad du har uträttat.,4.2509375,0.21082958159968257,0.049596020077849315
85,kantlinje, kontlingar,2.25,0.21082958159968257,0.09370203626652558
86,Blåbærturen ute på landet var en rein fornøyelse og flere av turgåerene hadde kilosvis med bær.," Blåbärsturen ute på landet var en ren förnöjelse, och flera av turgårdarna hade kilosvis med bär.",7.5,0.21082958159968257,0.028110610879957677
87,Finn ord, Finn år,2.75,0.21082958159968257,0.07666530239988457
88,"Fellesmeieriets regler er utformet slik at bønder som leverer til andre,\Komma risikerer å bli straffet økonomisk.\Punktum"," Fälles mejeriets regler är utformade så att bönder som levererar till andra komma riskerar att bli straffade ekonomiskt, punktum.",8.7509375,0.24985773814842105,0.028552110919363907
89,femtiåtte tusen seks hundre og nittini, femtioåtta tusen sexhundranittionio,4.2509375,0.24985773814842105,0.058777090500253426
90,Det er ikke for sent å snu., Det är icke förtjänt hos nu.,3.0,0.24985773814842105,0.08328591271614035
91,sytten tusen to hundre og fem, sjutton tusen tvåhundrafem,2.75,0.24985773814842105,0.09085735932669857
92,"Appelsin, banan, eple og druer er hovedingredienser i en velsmakende fruktsalat som serveres på en populær restaurant i byen."," Apelsin, banan, äpple och druvor är huvudingredienser i en välsmakande fruktsallad som serveras på en populär restaurang i byn.",11.25,0.23766030417755246,0.021125360371337998
93,åtte   sju   en   sju   tjueto   fire hundre og førtitre, åtta sju en sju tjugotvå fyrahundrafyrtiotre,5.5,0.23766030417755246,0.04321096439591863
94,Øk venstre innrykk med to og en halv centimeter, ök vänstra inriktning med två och en halv centimeter,4.2509375,0.23766030417755246,0.055907738981707554
95,B A S E N E, B A F E N E,6.25,0.23766030417755246,0.03802564866840839
96,"Den som planlegger bryllup og mangler idéer for den store dagen, har over tyve magasiner å velge mellom."," Den som planlägger bröllop och många idéer för den stora dagen, har typ två magasin att välja mellan.",9.0,0.19884656555950642,0.022094062839945156
97,Klipp ut, klipp ut,2.75,0.19884656555950642,0.0723078420216387
98,Lim inn, lim in,3.0,0.19884656555950642,0.06628218851983547
99,nittifem tusen seks hundre og ti, nittiofem tusen sexhundra och tio,4.5,0.19884656555950642,0.04418812567989031
