id,reference,hypothesis,audio_duration_s,inference_time_s,rtf
15,"Idag er jeg strøket av svarteboken hans,\Komma vi er på talefot igjen.\Punktum"," i dag är jag strökad av svartboken hans, komma vi är på talefot igen, punkten.",7.25,0.1852831373612086,0.025556294808442567
16,holder holder holder, håller håller håller,2.75,0.15117122797528282,0.05497135562737557
17,Høyrejuster tekst, höj registrertext,3.5,0.15117122797528282,0.043191779421509376
18,Han fikk også intervjue lokalbefolkningen i landsbyer i områder som ble hardt rammet av storflommen i høst., Han fick också intervjua lokalbefolkningen i landsbyar i områden som blev hårt rammade av storflammen i höstas.,11.0,0.15117122797528282,0.013742838906843892
19,Høyrejuster tekst, Hyrejustertext,4.0,0.15117122797528282,0.037792806993820705
20,Hyggen, hyggen,3.5,0.15117122797528282,0.043191779421509376
21,"Hun har gitt seg i kast med et krevende trekantdrama, en fortelling om kjærlighetstyven som prøver å stjele en annen manns liv."," Hon har gett sig i kast med ett krävande trekampsdrama, en berättelse om kärlekstyven som försöker stjäla en annan mans liv.",7.5,0.15117122797528282,0.02015616373003771
22,avbryt utskrift, avbryt utskrift,4.0,0.15117122797528282,0.037792806993820705
23,Farg denne linjen grønn, Färg denna linjen grön.,3.75,0.15117122797528282,0.04031232746007542
24,Slik pleier det å gå med oss.\Punktum," slik pläjir de och går med oss, punktum",5.5,0.15117122797528282,0.027485677813687784
25,Gjesvær, Jesper,3.0,0.15117122797528282,0.050390409325094275
26,E K S T R E M, E K S T R E M,6.0,0.15117122797528282,0.025195204662547138
27,Vanligvis får kvinner med bekkenplager klare råd om å være forsiktige.\Punktum," Vanligtvis får kvinnor med bäckenplagg klara råd om att vara försiktiga, punkten.",6.75,0.15117122797528282,0.022395737477819675
28,"I sommer ble noen av ungdommene sendt ut på tur med ett sett regntøy, en sovepose og en båt som kontinuerlig måtte øses."," I sommar blev någon av ungdomarna sänd ut på tur, med eftersatt regn en sovpåse och en båt som kontinuerligt måtte ösas.",9.25,0.15117122797528282,0.01634283545678733
29,T R Y G D E K O N T O R E T, T R Y G D E K O N T O R E T,8.0,0.15117122797528282,0.018896403496910352
30,Flytt til niende ord i avsnitt åttien, Flytt till nio nord i avsnitt åttioett.,4.5,0.15117122797528282,0.033593606216729514
31,"Alle barna ventet på julenissen, som var forsinket på grunn av den kraftige motvinden."," Alla barnen väntade på julenissen, som var försinkad på grund av den kraftiga motvinden.",7.25,0.15117122797528282,0.020851203858659698
32,Det er så mye musikk jeg har gått glipp av., Det är så mycket musik jag har gått och klippa.,4.2509375,0.12963034998392686,0.030494532084728805
33,Dette er en enebolig bokstavelig talt., Detta är en enebol i bokstavligt talat.,3.75,0.12963034998392686,0.034568093329047166
34,En klasse har nettopp bestemt seg for å bytte klasserom fra hovedbygningen til paviljongene., En klass har nätt och bestämt sig för att byta klassrum från huvudbyggningen till paviljongerna.,7.0,0.12963034998392686,0.018518621426275268
35,femtito tusen åtte hundre og femtito, femtiotvå tusen åttahundrafemtiotå,5.0,0.12963034998392686,0.025926069996785372
36,fire   fire   en   fem   førtito   ni hundre og femtiseks, fyra fyra en fem fyrtiotvå niohundrafemtiosex,8.0,0.12963034998392686,0.016203793747990858
37,F I S K E I N D U S T R I, F I S K E I N D U S T R I,7.25,0.12963034998392686,0.017880048273645085
38,Høyrejuster tekst, för i det just där text,4.5,0.12963034998392686,0.028806744440872636
39,Redusér utvalget med ett avsnitt, reducera utvalet med ett avsnitt.,4.2509375,0.12963034998392686,0.030494532084728805
40,åttitre tusen og tjueåtte, och till tre tusen och tjugoåtta,3.25,0.12963034998392686,0.03988626153351596
41,Øk venstre innrykk med to og en halv centimeter, ök vänstra inriktning med två och en halv centimeter,5.75,0.12963034998392686,0.022544408692856847
42,"Vi så rett bort på en person på broen, og vedkommende så tilbake på oss.", Vi såg rätt bort på en person på bron och välkomna såg tillbaka på oss.,7.0,0.12963034998392686,0.018518621426275268
43,tretten tusen ett hundre og femtini, tretton tusen etthundrafemtionio,4.0,0.12963034998392686,0.032407587495981716
44,syttitre tusen fire hundre og tjuefire, sjuttiotre tusen fyrahundratjugofyra,5.0,0.12963034998392686,0.025926069996785372
45,B E V I L G E R, B Ä V I L G E R,5.0,0.12963034998392686,0.025926069996785372
46,seg seg seg, säg säg säg,3.25,0.12963034998392686,0.03988626153351596
47,I N S T R U K S E N, I N S T R U K S E N,5.75,0.12963034998392686,0.022544408692856847
48,Tilbake ett tegn, tillbaka ett tagn,4.75,0.1276923754485324,0.02688260535758577
49,Lukk dokumentet, lockdokumentet,3.0,0.1276923754485324,0.0425641251495108
50,På møtet forklarte ordføreren om alle reaksjonene han har fått de siste dagene., På mötet förklarade ordföranden om alla reaktioner han har fått de sista dagarna.,7.75,0.1276923754485324,0.016476435541746118
51,femtisju tusen ett hundre og førtitre, femtiosju tusen etthundra och fyrtiotre,4.0,0.1276923754485324,0.0319230938621331
52,Øk venstre innrykk med to og en halv centimeter, ök vänster inryck med två och en halv centimeter.,4.75,0.1276923754485324,0.02688260535758577
53,K O P I E R I N G, K O P I E R I N G,5.5,0.1276923754485324,0.0232167955360968
54,Antonio, Antonio,4.2509375,0.1276923754485324,0.030038638641130905
55,Nå er det ikke sikkert at dette blir noe problem for ham., Nu är det inte säkert att detta blir något problem för han.,4.75,0.1276923754485324,0.02688260535758577
56,Gå tilbake trettifire ord, gå tillbaka trettiofyra ord,4.0,0.1276923754485324,0.0319230938621331
57,den den den, den den den,2.75,0.1276923754485324,0.0464335910721936
58,"Vi greier oss nå, vi som har byen som arbeidsplass og rekreasjonsområde."," Vi grejar oss nog, vi som har byn som arbetsplats och rekreationsområde.",7.5,0.1276923754485324,0.01702565005980432
59,K Y N I S K E, K Y N I S K Ä,5.0,0.1276923754485324,0.02553847508970648
60,I går kveld avviste nemlig flertallet i byutviklingskomitéen utbyggingsplanene for området., I går kväll avvisade nämligen flertalet i byutvecklingskommittén utbyggnadsplanerna för området.,7.75,0.1276923754485324,0.016476435541746118
61,sju tusen og nittifem, sju tusen och nittiofem,3.0,0.1276923754485324,0.0425641251495108
62,sekstini tusen sju hundre og femtitre, sextionio tusen sjuhundrafemtiotre,5.0,0.1276923754485324,0.02553847508970648
63,zoom ut, zoom ut,3.25,0.1276923754485324,0.03928996167647151
64,sakte bakover, sakte bakover,3.5,0.14744588074972853,0.042127394499922435
65,Brorparten av arbeidene er blitt til det siste året., Brorparten av arbetena har blivit till det sista året.,3.75,0.14744588074972853,0.03931890153326094
66,Blåbærturen ute på landet var en rein fornøyelse og flere av turgåerene hadde kilosvis med bær.," Blåbärsturen ute på landet var en ren förnyelse, och flera av järngårdarna hade kilovis med bär.",9.0,0.14744588074972853,0.016382875638858724
67,Livet består av sorger og gleder., Livet består av sorger och ledar.,3.0,0.14744588074972853,0.04914862691657618
68,"Alle vannløselige proteiner blir vasket ut av fisken,\Komma slik at massen bare består av proteiner som ikke kan oppløses i vann.\Punktum"," Alla vattenlösliga proteiner blir vaskade ut av fisken, komma, slikt att massan bara består av proteiner som icke kan upplösas i vatten, punktum.",9.25,0.14744588074972853,0.01594009521618687
69,Noen ventet i opptil åtte timer for å få lege hjem.\Punktum," Någon väntade i upp till åtta timmar för att få lägga igen, punkt om.",6.25,0.14744588074972853,0.023591340919956565
70,Fjern merking, fjärrmärkning,3.75,0.14744588074972853,0.03931890153326094
71,"Jeg håper å bruke både journalister på huset, og andre til å dekke sportsstoffet.", Jag hoppas att bruka både journalister på huset och andra till att däcka sportstoffet.,6.0,0.14744588074972853,0.02457431345828809
72,start Word, startvörd,3.5,0.14744588074972853,0.042127394499922435
73,K R I T E R I U M, K R I T E R I U M,6.75,0.14744588074972853,0.02184383418514497
74,åttini tusen seks hundre og nittiseks, åttionio tusen sexhundranittiosex,4.75,0.14744588074972853,0.031041238052574426
75,Fiskeindustrien har henvendt seg til fiskeriministeren for å gi uttrykk for sin frykt for å miste råstoff., Fiskeindustrin har hänvänt sig till fiskeriministern för att ge uttryck för sin flykt för att mista råstoff.,8.7509375,0.14744588074972853,0.016849152533626087
76,lavere lavere lavere," Lavare, lavare, lavare",4.5,0.14744588074972853,0.03276575127771745
77,stille stille stille," stilla, stilla stilla",4.0,0.14744588074972853,0.03686147018743213
78,L O U I S I A N A, L O U I S I A N A,5.25,0.14744588074972853,0.02808492966661496
79,fem   tre   to   tre   tjuetre   ni hundre og nittien, fem tre två tre tjugotre niohundranittioett,7.0,0.14744588074972853,0.021063697249961218
80,Operaen kjennetegnes av en henrivende puls og en melodiføring som enhver komponist må misunne den gamle mester., Operan kännetecknas av en händrivande puls och en melodiföring som en värd komponist måste skönja den gamle mästaren.,8.7509375,0.1430941983126104,0.016351870678154242
81,"Han er en tuslete hverdagsmann, bare iført prestedrakt denne gang."," Han är en tystlåten vardagsman, bara iförd prästdräkt denna gång.",5.5,0.1430941983126104,0.02601712696592916
82,Kutt løken og soppen i ønskelige biter., Kut löken och soppen i önskeliga bitar.,4.5,0.1430941983126104,0.03179871073613564
83,Det skal også utvikles regionale utviklingsprogrammer der formålet er å få de forskjellige kommuner og bedrifter i regionene til å samarbeide bedre., Det skall också utvecklas regionala utvecklingsprogram där formen är att få de olika kommunerna och bedrivna regionerna till att samarbeta bättre.,11.75,0.1430941983126104,0.012178229643626417
84,Bytt til utskriftsoppsettvisning, bytt till utskriftsuppsättsvisning,4.5,0.1430941983126104,0.03179871073613564
85,åtte   to   åtte   sju   tolv   tre hundre og fire, åtta två åtta sju tolv trehundrafyra,5.5,0.1430941983126104,0.02601712696592916
86,N Y D A L E N, N Y D A L E N,4.2509375,0.1430941983126104,0.033661797735819544
87,Vi var i mot bommen før den kom., Vi var emot bommen förr den kom.,4.2509375,0.1430941983126104,0.033661797735819544
88,Små kropper snor seg om jernstengene i hovedporten., Små kroppar snor sig om järnstängerna i huvudporten.,5.25,0.1430941983126104,0.02725603777383055
89,Noen spekulerer nå i at det vil komme et bud på sementselskapet., Någon spekulerar nu i att det vill komma ett bud på cementsällskapet.,4.5,0.1430941983126104,0.03179871073613564
90,A N G E R, A N G E R,4.2509375,0.1430941983126104,0.033661797735819544
91,Midtstill, mittstill,2.75,0.1430941983126104,0.05203425393185832
92,lukk Access, look access,2.0,0.1430941983126104,0.0715470991563052
93,"Sentralt i vår forfatning er maktdelingen mellom lovgivende,\Komma utøvende og dømmende myndighet.\Punktum"," Centralt i vår författning är maktdelningen mellan lovgivande, utövande och dömande myndighet, punktum.",7.75,0.1430941983126104,0.01846376752420779
94,Kurt, Kurt,2.0,0.1430941983126104,0.0715470991563052
95,I alle år har jeg vært utstillingsarkitekt., I alla år har jag varit utställningsarkitekt.,3.0,0.1430941983126104,0.04769806610420346
96,"Johannessen har det kunstneriske ansvaret, men alle har bidratt til å forme forestillingen.", Johannesson har det konstnärliga ansvaret men alla har bidragit till att forma föreställningen.,8.0,0.14674278954043984,0.01834284869255498
97,Deres besøk der vil sikkert gjøre årets nasjonaldag spesielt minnerik for små som store i denne del av hovedstaden., Deras besök där vill säkert göra årets nationaldag speciellt minnerik för små som stora i denne del av huvudstaden.,10.25,0.14674278954043984,0.014316369711262425
98,Sykkelsesongen starter for alvor i løpet av kort tid nå som temperaturen stiger.," Cykelsäsongen startar för allvar i loppet av kort tid nu, som temperaturen stiger.",7.25,0.14674278954043984,0.0202403847641986
99,Vi går inn for at det utarbeides et felles reglement på området som skal gjelde for all høyere utdannelse., Vi går in för att det utarbetas ett fällest reglemang på området som skall gälla för all högre utdandelse.,8.25,0.14674278954043984,0.017787004792780586
100,På møtet forklarte ordføreren om alle reaksjonene han har fått de siste dagene., På mötet förklarade ordföranden om alla reaktioner han har fått de sista dagarna.,4.75,0.14674278954043984,0.030893218850618916
101,Fiskeindustrien har henvendt seg til fiskeriministeren for å gi uttrykk for sin frykt for å miste råstoff., Fiskindustrin har hänvänt sig till fiskeriministern för att ge uttryck för sin frukt för mr Råstoff.,9.0,0.14674278954043984,0.016304754393382206
102,Elevene vil få spille like mye sjakk som de andre elevene får trene for eksempel fotball eller langrenn.\Punktum, Eleverna vill få spela lika mycket schack som de andra eleverna får träna för exempel fotboll eller långrymd.,8.5,0.14674278954043984,0.017263857592992923
103,Det engelske laget fremstår som dårlig trent og uinspirert., Det engelska laget framstår som dåligt tränat och oinspirerat.,6.75,0.14674278954043984,0.021739672524509607
104,Det skal også utvikles regionale utviklingsprogrammer der formålet er å få de forskjellige kommuner og bedrifter i regionene til å samarbeide bedre., Det ska också utvecklas regionala utvecklingsprogram där föremål är att få de olika kommunerna och bedrifterna i regionerna till att samarbeta bättre.,13.5,0.14674278954043984,0.010869836262254804
105,S L U T T R E S U L T A T E T, S L U T T R E S U L T A T E T,12.75,0.14674278954043984,0.011509238395328615
106,Reinås signaliserte i går at utfallet av forhandlingene fremdeles er helt åpent., Reine oss signaliserade i går att utfallet av förhandlingarna framdeles är helt öppet.,6.0,0.14674278954043984,0.024457131590073306
107,"Han var rett og slett en mann som sa ifra, fordi han ifølge sin samvittighet syntes han burde nettopp det."," Han var rätt och slätt en man som sa ifrån, för de han i följevis sannvettighet syntes han borde nettopp det.",7.25,0.14674278954043984,0.0202403847641986
108,"Det kan tas hensyn til forhold som farlig skolevei, skolenes kapasitet og hvor elevens søsken måtte gå."," Det kan ta hänsyn till förhållanden som farlig skolväg, skolornas kapacitet och var elevens önskan måste gå.",6.25,0.14674278954043984,0.023478846326470376
109,"I vinter har han måttet ty til rulleski for å få trent, fordi det har vært så lite snø."," I vinter har han mått ett tyg till rullskidor för att få tränt, för de har varit så lite snö.",8.0,0.14674278954043984,0.01834284869255498
110,Bunken med meldinger om skader på ansatte vokser., Bunken med mellingram skadar på ansatta voxer.,4.2509375,0.14674278954043984,0.03452010045794365
111,Jeg kan løpe av meg ergrelser og frustrasjoner., Jag kan löpa av mig ärglänser och frustrationer.,6.0,0.14674278954043984,0.024457131590073306
112,tre   tre   sju   tre   syttisju   sju hundre og syttiåtte, tre tre sju tre sjuttiosju sjuhundrasjuttioåtta,6.25,0.13517342898994683,0.021627748638391495
113,åtte   fem   fem   to   førtiåtte   fem hundre og nittisju, åtta fem fem två fyrtioåtta femhundranittiosju,7.75,0.13517342898994683,0.017441732772896366
114,nittini tusen og seksten, nittionio tusen och seisen,4.5,0.13517342898994683,0.03003853977554374
115,Jeg har ikke bil og lurer veldig på hvordan det skal bli til vinteren., Jeg har ikke bil och lurar veldig på hur det ska bli till vintern.,5.75,0.13517342898994683,0.02350842243303423
116,Maleriets integritet søkes i dets spesifikke og essensielle egenskaper., Måleriets integritet sökes i dess specifika och essentiella egenskaper.,5.25,0.13517342898994683,0.025747319807608922
117,"Rådsmøtet begynte stilfullt, med pianomusikk."," Rådsmötet begynte stilfullt, med pianomusik.",4.2509375,0.13517342898994683,0.03179849832888553
118,Under denne fremførelsen ga den resultater.\Punktum, Under denne framförelsen gav den resultat.om.,4.2509375,0.13517342898994683,0.03179849832888553
119,nittien tusen sju hundre og ti, nittioett tusen sjuhundratio,4.5,0.13517342898994683,0.03003853977554374
120,Fiskeindustrien har henvendt seg til fiskeriministeren for å gi uttrykk for sin frykt for å miste råstoff., Fiskindustrin har hänvänt sig till fiskeriministern för att ge uttryck för sin frukt för att mista råstoff.,7.0,0.13517342898994683,0.01931048985570669
121,lag PowerPoint-presentasjon, lag powerpoint presentation,3.25,0.13517342898994683,0.041591824304599026
122,Fem utlendinger møter storparten av den norske juniorelite de kommende fem dager.,,0.5,0.13517342898994683,0.27034685797989366
123,Det er heller ingen umiddelbare planer om å harmonisere dem., Det är heller ingen omedelbar planer om att harmonisera dem.,6.5,0.13517342898994683,0.020795912152299513
124,tjuesju tusen sju hundre og tjuesju, sju tjugotjugo tusen sju hundra där och sju och tjugo,5.0,0.13517342898994683,0.027034685797989365
125,Han sa figurene var veldig gjennomførte og detaljerte., Han sa figurerna var väldigt genomförda och detaljerade.,4.75,0.13517342898994683,0.028457563997883545
126,Opprett ny fil, upprätt ny fil,3.5,0.13517342898994683,0.03862097971141338
127,Blant annet har forbryterne avlagte en bonde et besøk., Bland annat har förbrytarna avlagt en bonde ett besök.,6.25,0.13517342898994683,0.021627748638391495
128,H E N D E L S E, H E N D E L S A,6.5,0.13120967580471188,0.020186103969955675
129,Ringen, Ringen,2.75,0.13120967580471188,0.04771260938353159
130,De første lykkelige samlivsår var likevel ikke uten skygger., De första lyckliga samlevnadsåren var likaväl icke utan skyggar.,7.75,0.13120967580471188,0.01693028074899508
131,Musikere påvirkes stadig mer av hverandres lokale musikalske tradisjoner., Musiker påverkar ständigt mer av varandras lokala musikaliska traditioner.,4.5,0.13120967580471188,0.029157705734380417
132,En ny aktør skal slippes inn.\Punktum," En ny aktör ska släppas in, punkter.",3.5,0.13120967580471188,0.03748847880134625
133,V E R D E N S M E S T E R E N, V E R D E N S M E S T E R E N,6.5,0.13120967580471188,0.020186103969955675
134,V E R B A L T, V E R B A L T,4.5,0.13120967580471188,0.029157705734380417
135,"Så gikk det altså få timer,\Komma og russerne gjorde nøyaktig det motsatte av hva de hevdet de skulle gjøre.\Punktum"," Så gick det alltså få timmar, komma, och ryssarna gjorde en jakt i det motsatta vad de hävdat de skulle göra, punkt om.",9.25,0.13120967580471188,0.014184829816725609
136,R E G I M E R, R E G I M E R,5.75,0.13120967580471188,0.022819074052993372
137,"Når man diskuterer en ting, så skal man gjøre det saklig."," När man diskuterar en ting, så ska man göra det sakligt.",6.5,0.13120967580471188,0.020186103969955675
138,tjenesten tjenesten tjenesten," tjänsten, tjänsten, tjänsten",3.25,0.13120967580471188,0.04037220793991135
139,Av historier som i aller høyeste grad er hans egne., Av historier som i allra höjdste grad är hans egna.,7.25,0.13120967580471188,0.018097886317891294
140,start Microsoft Excel, Start Microsoft Excel,3.5,0.13120967580471188,0.03748847880134625
141,Han sier også at det er første gang det er inngått en slik avtale i vår del av verden., Han säger också att det är första gång de har ingått ett sådant avtal i vår del av världen.,6.25,0.13120967580471188,0.0209935481287539
142,På forhånd knyttet det seg stor spenning til selve avstemningen., På förhand knyter det sig stor spänning till själva avstämningen.,6.0,0.13120967580471188,0.021868279300785314
143,lyddempere, Liddempere,2.25,0.13120967580471188,0.05831541146876083
144,"I stedet for å importere arbeidskraft fra utlandet, kan de bruke oss som er her.", Istället för att importera arbetskraft för utlandet kan de bruka oss som är här.,6.0,0.11107053398154676,0.018511755663591128
145,H A G L E R, H A G L E R,4.0,0.11107053398154676,0.02776763349538669
146,bytt mappe, byt mappe,2.5,0.11107053398154676,0.044428213592618705
147,Høyrejuster tekst," Höjre ljus där, text.",4.0,0.11107053398154676,0.02776763349538669
148,Namsrettens kjennelse faller i neste uke., Namnsrättens kännelse faller i nästa vecka.,4.75,0.11107053398154676,0.02338327031190458
149,A V B R U D D, A V B R U D D,5.5,0.11107053398154676,0.02019464254209941
150,nittifem tusen og førtito, nittiofem tusen och fyrtiotvå,4.2509375,0.11107053398154676,0.02612847965455779
151,åttisju tusen ett hundre og seksti, åttiosju tusen etthundrasextio,4.5,0.11107053398154676,0.02468234088478817
152,Unge kvinner kan nok føle seg plaget på kveldstid., Unga kvinnor kan nog känna sig plågade på kvällstid.,5.5,0.11107053398154676,0.02019464254209941
153,Slik pleier det å gå med oss.\Punktum," Slik blir det och går med oss, punktum.",3.75,0.11107053398154676,0.029618809061745802
154,Sundbyfoss, Sundbyfors,3.75,0.11107053398154676,0.029618809061745802
155,Han har hele sitt liv levd nede i en kjeller uten kontakt med omverdenen.\Punktum, Han har hela sitt liv levt nere i en källare utan kontakt med omvärlden. Punktum.,7.75,0.11107053398154676,0.01433168180407055
156,Informasjon er viktig for å fjerne rasisme., Information är viktig för att fjärna rasismen.,5.5,0.11107053398154676,0.02019464254209941
157,Omstillingsprosessen er kontinuerlig og presset stort.\Punktum," Omställningsprocessen är kontinuerlig och pressar stort, punktum.",7.25,0.11107053398154676,0.01532007365262714
158,P R E S S E K O N T O R, P R E S S E K O N T O R,8.25,0.11107053398154676,0.013463095028066275
159,formater diskett, formatera diskett,3.0,0.11107053398154676,0.037023511327182256
160,Bytt til normalvisning, bytt till normalvisning,4.2509375,0.1496952846646309,0.03521465198315216
161,På grunn av geografisk avstand møtes sekstetten ofte bare én helg i måneden., På grund av geografiskt skadestånd möts sextretton ofta bara en helg i månaden.,6.75,0.1496952846646309,0.022177079209574947
162,syttini tusen sju hundre og syttifem, sjuttionio tusen sjuhundra och sjuttiofem,5.0,0.1496952846646309,0.02993905693292618
163,Bytt til Excel, bytt till excel,4.0,0.1496952846646309,0.03742382116615772
164,Bytt til Excel, byt till excel,4.2509375,0.1496952846646309,0.03521465198315216
165,"Det var litt mørkt i de små rommene, men med stearinlys så vi nok.", Det var lite mörkt i de små rummen men med stilig ljus såg vi nog.,6.5,0.1496952846646309,0.0230300437945586
166,"Det gigantiske arrangementet med folkloreinnslag, kunst og fantastisk underholdning imponerte stort."," Det gigantiska arrangemanget med folkloreinslag, konst och fantastisk underhållning imponerade stort.",9.25,0.1496952846646309,0.016183274017797934
167,"Jeg fulgte rettssakene mot generalene som seriøs journalist, jeg vandret blant rike oljefolk og jeg deltok i det elleville nattelivet."," Jag följde rättssakerna mot generalerna som seriös journalist, jag vandrade bland riket oljefolk och jag deltog i det eldvilliga nattlivet.",10.75,0.1496952846646309,0.013925142759500547
168,Gå frem én linje, gå fram med en linje,4.2509375,0.1496952846646309,0.03521465198315216
169,vis linjalen, Vieslingjål,2.75,0.1496952846646309,0.05443464896895669
170,J O U R N A L I S T I S K, J O U R N A L I S T I S K,10.0,0.1496952846646309,0.01496952846646309
171,marker fil, markera fil,3.0,0.1496952846646309,0.04989842822154363
172,Stemningen inne på intensivavdelingen er underlig., Stämningen inne på intensivavdelningen är underlig.,5.0,0.1496952846646309,0.02993905693292618
173,E T E R E N, E T E R E N,4.2509375,0.1496952846646309,0.03521465198315216
174,Han forteller at det er noe helt spesielt med denne gruppen., Han förtäller att det är nåt helt speciellt med den här gruppen.,5.25,0.1496952846646309,0.028513387555167788
175,Opprett ny fil, upprätt ny fil,5.25,0.1496952846646309,0.028513387555167788
176,syttien tusen sju hundre og tjuefire, sjuttioett tusen sjuhundratjugofyra,5.0,0.14368763496167958,0.028737526992335914
177,Nå er de beste plukket ut.\Punktum," Nu är de bästa plockat ut, punkt om.",4.75,0.14368763496167958,0.030250028412985176
178,Namsrettens kjennelse faller i neste uke., Namnställarens kännedom faller i nästa vecka.,3.75,0.14368763496167958,0.03831670265644789
179,åttiseks tusen to hundre og førtien, åttiosex tusen tvåhundrafyrtioett,3.5,0.14368763496167958,0.04105360998905131
180,"Som det fremgår overfor, ble dette kravet ikke innfridd.", Som det framgår av en form blev detta krav icke infrytt.,5.25,0.14368763496167958,0.027369073326034204
181,"Appelsin, banan, eple og druer er hovedingredienser i en velsmakende fruktsalat som serveres på en populær restaurant i byen."," Apelsin, banan, äpple och druvor är huvudingredienser i en välsmakande fruktsallad som serveras på en populär restaurang i byn.",9.25,0.14368763496167958,0.01553379837423563
182,tilbake til tekst, tillbaka till text,3.25,0.14368763496167958,0.0442115799882091
183,Han sa figurene var veldig gjennomførte og detaljerte., Han sa figurerna var väldigt genomförda och detaljerade.,6.25,0.14368763496167958,0.02299002159386873
184,Vi har hatt lyst til å gjøre dette veldig lenge., Vi har haft lust till att göra detta väldigt länge.,4.2509375,0.14368763496167958,0.03380139909412443
185,Det synes vanskelig å påvise forskjeller i adferd mellom dem som eier og dem som leier bolig.," Det synes vanskligt att påvisa skillnader i avtal mellan de som äger och de som lejer, borde.",7.5,0.14368763496167958,0.019158351328223945
186,Vannsparende dusjer og toaletter og vannmålere bør også på plass i de fornyede boligene.\Punktum," Vannsparande duschar och toaletter och vattenmålare bör också få plats i de förnyade bolagena, punkt och.",11.0,0.14368763496167958,0.013062512269243598
187,nittiseks tusen åtte hundre og åttitre, nittiosex tusen åttahundraåttiotre,3.75,0.14368763496167958,0.03831670265644789
188,Vanligvis får kvinner med bekkenplager klare råd om å være forsiktige.\Punktum," Vanligtvis får kvinnor med bäckenplågor klara råd om att vara försiktiga, punkten.",9.0,0.14368763496167958,0.015965292773519952
189,Konge og høyadel har så utvilsomt hovedrollene., Kong och högadel har så utfilt som tvådroende.,5.0,0.14368763496167958,0.028737526992335914
190,oss oss oss, oss oss oss,3.75,0.14368763496167958,0.03831670265644789
191,"Reker er det massevis av, og selges til langt utpå ettermiddagen."," Räkor är det massvis av, och säljes till långt upp på eftermiddagen.",6.5,0.14368763496167958,0.02210578999410455
192,Anne, Anne,2.5,0.11934426601510495,0.04773770640604198
193,fem tusen ni hundre og sekstiseks, fem tusen niohundrasextiosex,3.25,0.11934426601510495,0.036721312620032295
194,familier familier familier, familjer familjer familjer,4.2509375,0.11934426601510495,0.02807481079529044
195,Strønstad, Strömstad,3.25,0.11934426601510495,0.036721312620032295
196,"En garanti har ingen verdi hvis den ikke blir oppfylt, fastslår hun."," En garanti har ingen värde ifall den icke blir uppfylld, fastslår hon.",5.5,0.11934426601510495,0.02169895745729181
197,utgangspunktet utgangspunktet utgangspunktet," utgångspunkter, utgångspunkter, utångspunkter",4.75,0.11934426601510495,0.025125108634758937
198,en   fire   sju   fem   nittiseks   sju hundre og elleve, en fyra sju fem nittiosex sjuhundraelva,6.75,0.11934426601510495,0.01768063200223777
199,to   to   åtte   to   nittisju   ett hundre og seksti, två två åtta två nittiosju etthundrasextio,7.0,0.11934426601510495,0.017049180859300708
200,sa sa sa," så, så, så",3.25,0.11934426601510495,0.036721312620032295
201,Midtstill dette avsnittet, mitt i detta avsnittet,3.75,0.11934426601510495,0.031825137604027984
